Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV
0,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,0,0,0,0,0,0,0,0,0
2,-73.4387386706171,-73.4387386706505,-73.4387386706587,-73.438738670627,-73.4387386706605,-73.4387386706688,-73.4387386705978,-73.4387386706316,-73.4387386706396,2.07513144762873e-07,2.07519676596544e-07,2.07520051704483e-07,2.07515209835783e-07,2.07520277329213e-07,2.07522738520776e-07,2.07509199892235e-07,2.07516087477026e-07,2.07517608567413e-07
4,-73.4248883205092,-73.4248883228026,-73.4248883232832,-73.4248883207836,-73.4248883230906,-73.4248883235709,-73.4248883189305,-73.4248883212413,-73.4248883217222,3.95493980929459e-07,3.9592814660442e-07,3.96018123655753e-07,3.95546164745686e-07,3.95981231468241e-07,3.96073357593873e-07,3.95195170596515e-07,3.95632875367782e-07,3.95723804034683e-07
6,-73.4110290416437,-73.4110290661668,-73.4110290759633,-73.4110290451831,-73.4110290702444,-73.4110290757088,-73.4110290342934,-73.4110290551303,-73.4110290425108,0.0123116279835254,0.0123116749269093,0.0123116710695165,0.0123116709564427,0.0123116886143882,0.0123116695650392,0.0123116631851905,0.0123116656720187,0.0123114609510066
8,-73.3971602236613,-73.3971614089873,-73.3971614086957,-73.3971613206499,-73.3971613861301,-73.3971613982262,-73.3971612409703,-73.3971613196572,-73.3971613140493,0.0438832014035159,0.0438836908370333,0.0438835642683655,0.0438836741258925,0.0438835655151952,0.0438835591257213,0.0438835325360302,0.0438835442614792,0.0438833215183495
10,-73.3832278859553,-73.3832859962036,-73.3832859859228,-73.3832857692486,-73.3832859202726,-73.3832859758166,-73.3832855676799,-73.383285787804,-73.3832857421651,0.125190148304595,0.125201468759323,0.125201348171028,0.125201425824632,0.125201321047926,0.125201390238958,0.125201269043514,0.125201354668329,0.125201002534267
12,-73.3685601333029,-73.3694028280246,-73.3694028642964,-73.3694024026297,-73.3694027602472,-73.3694028624294,-73.369402096513,-73.3694025287405,-73.3694024178639,0.277033030005148,0.277192646989719,0.277192562786542,0.277192566510224,0.277192604686058,0.277192763747271,0.277192417526467,0.277192700613696,0.277192253184521
14,-73.3463170472282,-73.3555116526605,-73.3555120999133,-73.3555110048066,-73.3555119547028,-73.3555121417329,-73.3555109424357,-73.3555116497573,-73.3555114748134,0.507609575758094,0.509349001120217,0.509349174546589,0.509348878557485,0.509348926425064,0.509349245620163,0.509348955562346,0.509349152540296,0.509348848950829
16,-73.2191508984835,-73.3416085409649,-73.3416137785591,-73.3416076805217,-73.3416135546457,-73.3416138208394,-73.3416122386734,-73.3416131715792,-73.3416130223955,0.80344766546264,0.82661544622366,0.826616160333082,0.826615283437666,0.826616320454511,0.826616511963353,0.826615869003269,0.826616389130048,0.826615985138716
18,-71.3336659545294,-73.3276443183396,-73.3277078987031,-73.3276432756602,-73.3277076114038,-73.3277079272234,-73.3277060116752,-73.3277071292093,-73.3277070365808,0.854878385767177,1.23211720515315,1.23212956359732,1.2321170078892,1.23212939614124,1.23212944334998,1.23212920659035,1.232129292376,1.23212993718313
