Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV,FP1_mV,FP2_mV,FP3_mV,FP4_mV,FP5_mV,FP6_mV,FP7_mV,FP8_mV,FP9_mV,FP10_mV,FP11_mV,FP12_mV,FP13_mV,FP14_mV,FP15_mV,FP16_mV,FP17_mV,FP18_mV,FP19_mV,FP20_mV,FP21_mV,FP22_mV,FP23_mV,FP24_mV,FP25_mV,FP26_mV,FP27_mV,FP28_mV,FP29_mV,FP30_mV,FP31_mV,FP32_mV,FP33_mV,FP34_mV,FP35_mV,FP36_mV,FP37_mV,FP38_mV,FP39_mV,FP40_mV,FP41_mV,FP42_mV,FP43_mV,FP44_mV,FP45_mV,FP46_mV,FP47_mV,FP48_mV,FP49_mV,FP50_mV,FP51_mV,FP52_mV,FP53_mV,FP54_mV,FP55_mV,FP56_mV,FP57_mV,FP58_mV,FP59_mV,FP60_mV,FP61_mV,FP62_mV,FP63_mV,FP64_mV
0,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,-73.4525804324366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-73.4387376359344,-73.4387376359334,-73.4387376359336,-73.4387376359344,-73.4387376359334,-73.4387376359336,-73.4387376359345,-73.4387376359334,-73.4387376359337,6.2384132862702e-14,-2.13492795910281e-13,-1.2873135090934e-13,2.67224505042178e-15,-3.34959571506279e-13,-1.92376966362862e-13,-1.94049041224261e-14,-3.64805533210374e-13,-1.99052629028012e-13,8.10868035179234e-14,9.71102643550165e-14,9.25590594434167e-14,1.0932079949124e-13,1.15659180392766e-13,1.06753592187407e-13,1.09550680537139e-13,1.08373221466974e-13,7.81775571673467e-14,1.01007593251128e-13,1.08507688869728e-13,1.09784265581885e-13,1.17365824978103e-13,1.16575784029453e-13,1.05004190115936e-13,1.07274695107893e-13,9.06697377331991e-14,1.01423502805116e-13,1.13699697811656e-13,1.17435032426824e-13,1.1580576111863e-13,1.21755416060522e-13,1.0865135405079e-13,1.06964659107996e-13,9.61128322016171e-14,1.01810296739217e-13,1.15610638138083e-13,1.24454125641346e-13,1.12527969855196e-13,1.21529559781811e-13,1.19458096992766e-13,1.02106583022207e-13,9.73509176109395e-14,1.11133992248772e-13,1.08762198875088e-13,1.25876640352468e-13,1.26496446746186e-13,1.20026401551673e-13,1.18835942466477e-13,1.08051632873439e-13,9.23838915723846e-14,1.14985339098968e-13,1.19278340346183e-13,1.24937420583486e-13,1.30502086479501e-13,1.26651765248793e-13,1.16549899864288e-13,1.14777797074091e-13,9.75601232630137e-14,1.13822957140534e-13,1.26245646224459e-13,1.25375754942648e-13,1.32007327642884e-13,1.33380706955606e-13,1.08836577315666e-13,1.12488377542918e-13,1.06705723453602e-13,1.10242369460238e-13,1.28659272055563e-13,1.35306894297224e-13,1.25101208608625e-13,1.33079560874283e-13,1.28312940690235e-13,1.16130230323106e-13
4,-73.4248863261919,-73.4248863261904,-73.4248863261909,-73.4248863261919,-73.4248863261905,-73.4248863261909,-73.4248863261919,-73.4248863261905,-73.424886326191,2.23474392815001e-13,-4.78219400436265e-14,-3.6543400588664e-14,2.07751020695523e-13,-6.00426621027938e-14,-3.62000639251257e-14,1.90851049447459e-13,-9.78695815255836e-14,-4.72808986425261e-14,-2.97115334276097e-14,-4.11078456569638e-14,-6.34992741713157e-14,-5.44445339569634e-14,-5.19414343141883e-14,-6.9428604318503e-14,-6.00421002728111e-14,-6.47301277466703e-14,-4.90624626759881e-14,-4.60269222051737e-14,-4.88094712785873e-14,-6.45435257001364e-14,-5.75627712483987e-14,-5.90864292463027e-14,-7.34879686443689e-14,-6.34484415174649e-14,-4.56146521963765e-14,-5.80069124834003e-14,-5.18267518354765e-14,-6.03342467647755e-14,-6.9464568954205e-14,-6.0080955005599e-14,-7.34455440287313e-14,-6.95788138950572e-14,-4.17016921627907e-14,-6.38126811365262e-14,-5.90943777734503e-14,-5.53384910131352e-14,-7.53719906629868e-14,-6.5579444554133e-14,-6.61275703126902e-14,-7.913060567535e-14,-4.44547568195785e-14,-5.45075929855918e-14,-7.15546820896876e-14,-5.84985839931825e-14,-5.88198661333368e-14,-7.40104059981865e-14,-6.87197845936589e-14,-7.2529348736103e-14,-5.52737619483921e-14,-5.31668396378855e-14,-6.07364968221207e-14,-6.47265943427641e-14,-5.90247558974256e-14,-6.88555702055965e-14,-7.31625438985832e-14,-6.68949840442498e-14,-5.39049517097988e-14,-5.58441202551461e-14,-5.28691086291696e-14,-6.70098501597909e-14,-6.33733938509403e-14,-6.20437746034355e-14,-7.85613046053349e-14,-6.6389316639941e-14,-4.16361943292293e-14,-6.51511492365596e-14,-5.54040488333e-14,-5.33419133590526e-14,-7.30057783429135e-14,-6.26253131126553e-14,-6.28601568892058e-14,-7.54907396663558e-14
6,-73.4110267837496,-73.4110267843506,-73.4110267843574,-73.4110267843526,-73.4110267987379,-73.4110267843596,-73.4110267843612,-73.4110267843628,-73.4110267843603,0.0660602056153757,0.0214613386278317,0.00655902549239627,0.0219812374993107,0.0163275391526675,0.00717092361086739,0.00873157815582581,0.00953545451017942,0.00542612379926918,0.0228785956849743,0.0212754143517014,0.01969819646249,0.0181698349942752,0.016704984543516,0.0153120251377856,0.0139946850407416,0.0127533376388328,0.0213488193654919,0.0200088352274102,0.0186609876225716,0.0173297383492861,0.0160322677826116,0.0147799487416081,0.0135796372723662,0.0124347579346431,0.019858508428957,0.0187486461239303,0.0176059646710618,0.0164548848649936,0.0153136291989028,0.0141952693772913,0.013108704788583,0.0120595298929113,0.0184313067238785,0.0175200610726902,0.0165582951756193,0.0155693329373373,0.0145713793049491,0.0135782200710971,0.0125999281923838,0.0116435275875753,0.0170826325658308,0.0163410195765116,0.0155369484689741,0.0146920143956182,0.0138236928822876,0.0129457699545604,0.0120688241899803,0.0112007125062577,0.0158216502800854,0.0152236681676179,0.0145557508211072,0.013837441960815,0.0130850468057864,0.0123118620711223,0.0115284813464438,0.0107431327597717,0.0146529016522254,0.0141756597476936,0.0136243723931499,0.0130164239949906,0.0123667105226474,0.0116877272511081,0.0109897403314918,0.0102810060237282,0.0135776123671336,0.0132012482749625,0.0127492038953673,0.0122367374500807,0.0116772409121207,0.0110822308429116,0.0104614223276171,0.00982285703083689
8,-73.3971575299065,-73.3971592476261,-73.39715926304,-73.3971592470763,-73.3971594674454,-73.397159268142,-73.3971592673865,-73.3971592758692,-73.397159269405,0.143914948708139,0.0473723974521353,0.0146086948252517,0.0485302171364906,0.0360210769507547,0.0159189077646238,0.0194281462516119,0.0211356634312348,0.0120774358574845,0.0512477210705555,0.0476861952500745,0.0441809168735093,0.0407820820136327,0.037522024555103,0.0344194207787189,0.0314827766551987,0.0287132259721389,0.0478523934585863,0.044870814896046,0.0418716112014345,0.0389083394794236,0.0360187591718059,0.0332279948839133,0.0305513125135157,0.0279964599341748,0.0445436485745351,0.0420698180482757,0.0395236905417105,0.036958736651889,0.0344149591222365,0.0319211481725757,0.029496989909978,0.0271549385872666,0.0413733551880641,0.0393384364535986,0.0371922869728469,0.0349860189466487,0.0327595987859783,0.0305433607474635,0.0283595331706451,0.0262236736001693,0.0383755483285285,0.0367161194460825,0.0349190648601951,0.0330317691729206,0.0310926246210572,0.0291319675650871,0.0271731240693716,0.0252334625594154,0.0355706509550518,0.0342297137535909,0.0327344930874585,0.0311279380557703,0.029445908628579,0.027717682049041,0.0259666186720745,0.0242108957846988,0.0329689803194185,0.0318962584782663,0.0306599721459342,0.0292983890397138,0.0278443124902918,0.0263252806407668,0.0247639436305388,0.023178541793007,0.0305735670879073,0.0297253464147293,0.0287097267481283,0.0275603535101844,0.0263067601573134,0.024974356550459,0.0235845945632852,0.0221552490293523
10,-73.3832073938529,-73.3832829856109,-73.3832835426067,-73.3832829669949,-73.3832845426742,-73.3832837177552,-73.3832836678603,-73.3832839520978,-73.3832837555124,0.416276940206631,0.137084852182405,0.0422568506504215,0.140433819625627,0.104223825893861,0.0460479424729542,0.0561996615122737,0.0611444532663972,0.0349311799621888,0.145332831646512,0.135233033466333,0.12529256850798,0.115653706447254,0.106408142796894,0.0976088825644111,0.0892801042038735,0.0814250804734277,0.135704304092279,0.127248618571991,0.118742972037491,0.110339134258831,0.102144144752599,0.0942292540914451,0.0866377767313875,0.0793917164823159,0.126321149867842,0.119305030493195,0.11208400672493,0.10480960454396,0.0975952098232306,0.0905224468908958,0.0836471440005739,0.0770046333780424,0.117330384590536,0.111558790568547,0.105471912861889,0.099214606876005,0.0929001562840897,0.0866145562599929,0.0804208333396887,0.0743631089594682,0.108828530490816,0.104121733189743,0.0990247910343185,0.0936720113424135,0.0881722226987381,0.0826114267563157,0.0770557590363979,0.0715544705703045,0.100873548589052,0.0970699953386164,0.0928290286961799,0.0882723997531245,0.0835017679583941,0.0786001363246346,0.073633738027509,0.0686541159451669,0.0934947568169047,0.0904519229769406,0.0869453187104111,0.0830834382523349,0.0789592848063863,0.0746509360621105,0.0702226138333196,0.0657260401311895,0.086700810573195,0.0842947552051795,0.0814140172761846,0.0781539979987462,0.0745984381357159,0.0708193864014822,0.0668776699791997,0.0628236919623103
12,-73.3686364462962,-73.3693926492466,-73.3693975914138,-73.3693924931802,-73.3694026064751,-73.3693990793367,-73.3693985327384,-73.3694009096218,-73.3693993684114,1.05765024361462,0.35027799594091,0.108140015397549,0.358846741492181,0.266171250380553,0.117740794227948,0.143792053391962,0.156306839080796,0.0893542259059857,0.377194404820989,0.351031053236976,0.32527674016125,0.300298448761154,0.276333439448873,0.253519479973277,0.231920016358333,0.211544449625347,0.35225651506104,0.330341064185306,0.308295952886312,0.286512334664568,0.265266597076297,0.244743141096135,0.225054427533161,0.206257929421562,0.327951177392691,0.309757247343149,0.291034197909141,0.27217256811952,0.253464952499284,0.235122289230855,0.217289107022951,0.200057091569669,0.304657690374909,0.289683084931632,0.273894245075123,0.25766468639949,0.241286747894407,0.224982563228827,0.208915121856673,0.193198680738233,0.282625839310813,0.270407405514889,0.257180920733539,0.243292926314384,0.229024360725318,0.214597379745798,0.200182955696461,0.185908528079503,0.262006252162987,0.252127288411338,0.241117520374821,0.229291319875509,0.216911248993075,0.204191774525063,0.191304125122071,0.178381636967299,0.242875710941583,0.234968248959516,0.22586119306622,0.215834892135492,0.205129687133195,0.193947397345536,0.182454086733324,0.170783557873358,0.2252575831523,0.219001342985271,0.211516657898081,0.203050220986505,0.193818563475174,0.184008004494726,0.173775879724419,0.163252602807875
14,-73.3512750441283,-73.3554713269163,-73.3554952796072,-73.355470609632,-73.3555145252386,-73.3555021825167,-73.3554993080118,-73.3555102235182,-73.3555034295903,2.17635139140158,0.732374017418432,0.226708988148215,0.750326425585235,0.555559523425147,0.246335564309074,0.301326321519524,0.326917663443356,0.187077544848939,0.798551233518589,0.743439090499633,0.689164908481605,0.636491911720537,0.585918523234023,0.537738302754788,0.492090421949052,0.449000787400305,0.746045178740506,0.699811432658076,0.653303365086114,0.607332146047469,0.562474454421742,0.519117883390296,0.477501191524837,0.437748624964083,0.694851551584382,0.656410011440576,0.61686489149549,0.577026183503869,0.537503150018486,0.498737059115558,0.461031928871588,0.424582031837389,0.645759665219038,0.614072107976026,0.580685377233527,0.546375320116981,0.511750723276386,0.477275600007727,0.443291636977334,0.410039375866077,0.599294475193031,0.573400749918866,0.545399984673691,0.516013529248003,0.485827082271909,0.455304739742747,0.424804543411663,0.39459412310874,0.555776783717242,0.534810381509857,0.51147614713493,0.486430011879577,0.460220243046572,0.43329525549342,0.406013654251066,0.378655233426544,0.515374012084687,0.498567408371583,0.479244604303843,0.457991932506888,0.435312167018343,0.411627802009318,0.387286858383418,0.362570129797972,0.478141650996372,0.464824841305609,0.448927223886578,0.430965913900085,0.411394713749921,0.390604220907877,0.368924487835951,0.346629344973689
16,-73.3148877326975,-73.3414733118086,-73.3415608986626,-73.3414708306826,-73.3416212383046,-73.3415849417807,-73.3415742066082,-73.3416119654487,-73.3415890748875,3.72444767628638,1.29756951182555,0.403032002160651,1.32943370769372,0.980223537543995,0.436210389055287,0.535323967418566,0.578776443842154,0.331529649612957,1.4172198362719,1.32042554858152,1.22500810421957,1.13226852149014,1.04307711252367,0.957963583419046,0.877195266377635,0.800842799825543,1.32508885750337,1.24361061259298,1.16164635876514,1.08056931178892,1.00137030623254,0.924727078029287,0.851066900774671,0.780621187156462,1.23518187050699,1.16720326751924,1.09733120155212,1.02693727846294,0.957063229512225,0.888471990447109,0.821696103514663,0.75708164277846,1.1488463577348,1.09262321406556,1.03348032445443,0.972736294095648,0.911432270624839,0.85036772297437,0.790136384892396,0.731160395714856,1.06699988617745,1.02090819518691,0.971181548350279,0.919052306824684,0.865524847220263,0.811398932585592,0.757295147741319,0.703680443252652,0.990220681980112,0.952783749863487,0.911244371097444,0.866729587721827,0.820183248495036,0.772379678051921,0.72394054901389,0.675353138312159,0.918826391956988,0.888726372241712,0.854248887298588,0.816407188818302,0.776070584774214,0.733970810697604,0.69071215222991,0.646783716557879,0.852940346846504,0.829018685642127,0.800590278095419,0.768553640989944,0.733696883751774,0.696698782875351,0.658133758097086,0.618479397431748
18,-73.0151102084655,-73.3272815368926,-73.3275580745726,-73.3272742774712,-73.3277234857088,-73.3276288619466,-73.3275956666265,-73.3277062088621,-73.3276405597478,5.5022415432805,2.053132595863,0.640542235412649,2.10361115459118,1.53865568543695,0.688419890417417,0.849902174096048,0.913466650817309,0.523578620173116,2.22001417154669,2.07129113283206,1.92440652537903,1.78124054753665,1.64311140941779,1.51087164849897,1.38499837316273,1.26567465079041,2.07869970254004,1.9526889074842,1.82591851669099,1.70034646158956,1.57742847519851,1.45819529392815,1.34332587428128,1.23321465146555,1.94056632664974,1.83474312279291,1.7261428344341,1.61672209785812,1.50799684224821,1.40110253718442,1.29685249258142,1.19579256615723,1.80756768534942,1.71948513591281,1.62710885809572,1.53233377212562,1.43667560410319,1.34131603442219,1.24714780411721,1.15481820478355,1.68109668577264,1.60844477685379,1.53040526600602,1.44876786730235,1.36500276426718,1.28029251908843,1.19556560121598,1.11152993218785,1.56208256811786,1.50272829643232,1.4372410250558,1.36727672346177,1.29422789144453,1.21924421146129,1.14325612063247,1.06699967950696,1.45108198804494,1.40309241070981,1.34850450981886,1.28882455798664,1.22534646150792,1.15916321117836,1.09118212578495,1.02214231105118,1.34836132933385,1.31001246645546,1.26481910336828,1.21413183670641,1.15913427561026,1.10084723905412,1.04013725004036,0.977727861423064
